id,name,total_serves,total_aces,total_unret,total_sp1,ace_rate,unret_rate,sp1_rate,serve_eff
153,Jose Acasuso,170,5,8,10,2.9411764705882355,4.705882352941177,5.882352941176471,13.53
154,Bjorn Fratangelo,170,10,1,12,5.882352941176471,0.5882352941176471,7.0588235294117645,13.53
155,Daniel Masur,74,5,0,5,6.756756756756757,0.0,6.756756756756757,13.51
156,Kenneth Carlsen,245,13,0,20,5.3061224489795915,0.0,8.16326530612245,13.47
157,Thiemo De Bakker,446,31,5,24,6.95067264573991,1.1210762331838564,5.381165919282512,13.45
158,Steve Johnson,2280,130,51,125,5.701754385964913,2.236842105263158,5.482456140350878,13.42
159,Yasutaka Uchiyama,343,29,0,17,8.454810495626822,0.0,4.956268221574344,13.41
160,Ryan Seggerman,82,3,0,8,3.658536585365854,0.0,9.75609756097561,13.41
161,Sebastian Korda,4626,274,117,229,5.923043666234328,2.529182879377432,4.950281020319931,13.4
162,Devin Britton,142,7,0,12,4.929577464788732,0.0,8.450704225352112,13.38
163,Michael Berrer,480,34,5,25,7.083333333333333,1.0416666666666667,5.208333333333333,13.33
164,Mathias Bourgue,83,4,0,7,4.819277108433735,0.0,8.433734939759036,13.25
165,Maximilian Marterer,544,36,3,33,6.617647058823529,0.5514705882352942,6.0661764705882355,13.24
166,Holger Rune,5459,240,190,292,4.396409598827624,3.4804909324052025,5.348965011906943,13.23
167,Grigor Dimitrov,16259,987,402,760,6.070484039608832,2.4724767820899194,4.674334214896365,13.22
168,Mattia Bellucci,447,34,6,19,7.6062639821029085,1.342281879194631,4.250559284116331,13.2
169,Lloyd Harris,902,73,10,36,8.093126385809313,1.1086474501108647,3.991130820399113,13.19
170,Christoph Negritu,91,8,0,4,8.791208791208792,0.0,4.395604395604396,13.19
171,Casper Ruud,12976,642,394,673,4.947595561035758,3.036374845869297,5.186498150431566,13.17
172,Lukas Klein,198,7,0,19,3.5353535353535355,0.0,9.595959595959595,13.13
173,Rinky Hijikata,1052,60,11,67,5.7034220532319395,1.0456273764258555,6.3688212927756656,13.12
174,Ivan Gakhov,122,11,1,4,9.01639344262295,0.819672131147541,3.278688524590164,13.11
175,Fernando Meligeni,84,3,0,8,3.5714285714285716,0.0,9.523809523809524,13.1
176,Todd Martin,2605,192,9,139,7.370441458733206,0.345489443378119,5.335892514395393,13.05
177,Jacob Fearnley,146,8,0,11,5.47945205479452,0.0,7.534246575342466,13.01
178,Juan Martin Del Potro,13969,988,149,679,7.0728040661464675,1.0666475767771495,4.860763118333453,13.0
179,Borna Gojo,154,14,0,6,9.090909090909092,0.0,3.896103896103896,12.99
180,Sebastian Fanselow,54,6,0,1,11.11111111111111,0.0,1.8518518518518519,12.96
181,Laslo Djere,3178,193,44,175,6.073001887979862,1.3845185651353051,5.506607929515418,12.96
182,Marc Rosset,1223,110,2,46,8.994276369582993,0.1635322976287817,3.761242845461979,12.92
183,Tommy Paul,6254,261,268,278,4.173329069395587,4.285257435241445,4.445155100735529,12.9
184,Sergiy Stakhovsky,1622,112,3,94,6.905055487053021,0.18495684340320592,5.7953144266337855,12.89
185,Rei Sakamoto,225,14,0,15,6.222222222222222,0.0,6.666666666666667,12.89
186,Scoville Jenkins,163,5,2,14,3.067484662576687,1.2269938650306749,8.588957055214724,12.88
187,Bobby Reynolds,132,14,0,3,10.606060606060606,0.0,2.272727272727273,12.88
188,Lorenzo Sonego,3281,134,105,183,4.084120694910088,3.2002438281011885,5.577567814690643,12.86
189,Aslan Karatsev,3171,136,87,184,4.2888678650268055,2.7436140018921478,5.802585935036266,12.84
190,Patrick Rafter,4055,187,1,332,4.611590628853268,0.02466091245376079,8.187422934648582,12.82
191,Robin Soderling,2341,164,28,108,7.005553182400684,1.196070055531824,4.613413071337035,12.82
192,Feliciano Lopez,5993,418,36,314,6.974803937927582,0.6007008176205573,5.239446020357083,12.81
193,Max Mirnyi,696,45,3,41,6.4655172413793105,0.43103448275862066,5.890804597701149,12.79
194,Henri Laaksonen,360,24,7,15,6.666666666666667,1.9444444444444444,4.166666666666667,12.78
195,Michael Stich,4234,243,2,295,5.739253660840813,0.04723665564478035,6.967406707605101,12.75
196,Jared Donaldson,573,21,37,15,3.6649214659685865,6.457242582897033,2.6178010471204187,12.74
197,Michal Przysiezny,165,14,4,3,8.484848484848484,2.4242424242424243,1.8181818181818181,12.73
198,Stefano Napolitano,79,4,0,6,5.063291139240507,0.0,7.594936708860759,12.66
199,Thomas Enqvist,1580,132,2,65,8.354430379746836,0.12658227848101267,4.113924050632911,12.59
200,Marat Safin,6806,508,77,271,7.464002350866882,1.1313546870408464,3.9817807816632382,12.58
201,Fernando Gonzalez,3865,227,26,233,5.873221216041397,0.6727037516170763,6.028460543337646,12.57
202,Mardy Fish,1275,96,2,62,7.529411764705882,0.1568627450980392,4.862745098039215,12.55
203,Martin Verkerk,343,24,7,12,6.997084548104956,2.0408163265306123,3.498542274052478,12.54
204,Filip Krajinovic,2060,76,59,123,3.6893203883495147,2.8640776699029127,5.970873786407767,12.52
205,Matteo Arnaldi,1434,64,53,62,4.463040446304045,3.695955369595537,4.323570432357044,12.48
206,Laurent Lokoli,266,11,2,20,4.135338345864661,0.7518796992481203,7.518796992481203,12.41
207,Stan Wawrinka,14637,856,205,754,5.84819293571087,1.4005602240896358,5.151328824212612,12.4
208,Valentin Vacherot,259,19,0,13,7.335907335907336,0.0,5.019305019305019,12.36
209,Flavio Cobolli,1101,41,43,52,3.723887375113533,3.905540417801998,4.72297910990009,12.35
210,Miljan Zekic,81,0,1,9,0.0,1.2345679012345678,11.11111111111111,12.35
211,Samuel Groth,325,22,0,18,6.769230769230769,0.0,5.538461538461538,12.31
212,Gael Monfils,13677,878,195,609,6.419536448051473,1.4257512612415004,4.452730862031147,12.3
213,Horacio Zeballos,407,21,6,23,5.15970515970516,1.4742014742014742,5.651105651105651,12.29
214,Oscar Otte,668,50,0,32,7.485029940119761,0.0,4.790419161676646,12.28
215,Vladimir Voltchkov,131,10,0,6,7.633587786259542,0.0,4.580152671755725,12.21
216,Ty Trombetta,82,5,0,5,6.097560975609756,0.0,6.097560975609756,12.2
217,Marco Cecchinato,1867,61,31,135,3.267273701124799,1.6604177825388324,7.230851633636851,12.16
218,Boris Becker,18251,1264,111,844,6.925647909703578,0.6081858528299819,4.624404142238782,12.16
219,Francisco Comesana,239,18,0,11,7.531380753138075,0.0,4.602510460251046,12.13
220,Rudy Coco,66,2,0,6,3.0303030303030303,0.0,9.090909090909092,12.12
221,James Duckworth,645,35,15,28,5.426356589147287,2.3255813953488373,4.341085271317829,12.09
222,Nicolas Almagro,1935,102,33,99,5.271317829457364,1.7054263565891472,5.116279069767442,12.09
223,Nikoloz Basilashvili,3386,161,98,149,4.754873006497342,2.894270525694034,4.400472533963379,12.05
224,Laurynas Grigelis,133,9,0,7,6.7669172932330826,0.0,5.2631578947368425,12.03
225,Egor Gerasimov,1090,63,7,61,5.779816513761468,0.6422018348623854,5.5963302752293576,12.02
226,Frances Tiafoe,4042,235,97,153,5.813953488372093,2.3998020781791194,3.785254824344384,12.0
227,Akira Santillan,75,6,0,3,8.0,0.0,4.0,12.0
228,Julian Reister,50,2,0,4,4.0,0.0,8.0,12.0
229,Jordan Thompson,2831,184,40,115,6.499470151889792,1.412928293889085,4.0621688449311195,11.97
230,Mateus Alves,209,14,4,7,6.698564593301436,1.9138755980861244,3.349282296650718,11.96
231,Alexandr Dolgopolov,2715,156,28,139,5.745856353591161,1.0313075506445673,5.119705340699816,11.9
232,Dominic Thiem,19240,936,277,1075,4.864864864864865,1.4397089397089398,5.587318087318088,11.89
233,Ethan Quinn,160,11,2,6,6.875,1.25,3.75,11.88
234,Tomas Berdych,9347,564,79,465,6.034021611212154,0.8451909703648229,4.974858243286616,11.85
235,Leander Paes,270,16,0,16,5.925925925925926,0.0,5.925925925925926,11.85
236,Marcelo Arevalo,228,15,0,12,6.578947368421052,0.0,5.2631578947368425,11.84
237,Gustavo Kuerten,3639,239,11,180,6.5677383896674915,0.3022808463863699,4.9464138499587795,11.82
238,Lukas Rosol,1212,60,2,81,4.9504950495049505,0.16501650165016502,6.683168316831683,11.8
239,Lucas Pouille,3597,209,25,189,5.81039755351682,0.6950236308034473,5.254378648874062,11.76
240,Robert Kendrick,128,7,0,8,5.46875,0.0,6.25,11.72
241,Renzo Furlan,222,16,0,10,7.207207207207207,0.0,4.504504504504505,11.71
242,Carlos Alcaraz,15885,530,325,1003,3.3364809568775575,2.045955303745672,6.314132829713566,11.7
243,Daniel Nestor,77,1,1,7,1.2987012987012987,1.2987012987012987,9.090909090909092,11.69
244,Tennys Sandgren,1533,123,18,38,8.023483365949119,1.1741682974559686,2.4787997390737115,11.68
245,Daniel Cox,60,3,1,3,5.0,1.6666666666666667,5.0,11.67
246,Vincenzo Santopadre,60,5,0,2,8.333333333333334,0.0,3.3333333333333335,11.67
247,Gabriel Decamps,103,10,0,2,9.70873786407767,0.0,1.941747572815534,11.65
248,Frank Dancevic,172,4,6,10,2.3255813953488373,3.488372093023256,5.813953488372093,11.63
249,Tomasz Berkieta,129,8,0,7,6.2015503875969,0.0,5.426356589147287,11.63
250,Wayne Odesnik,112,4,0,9,3.5714285714285716,0.0,8.035714285714286,11.61
251,Jason Kubler,905,48,13,44,5.303867403314917,1.4364640883977902,4.861878453038674,11.6
252,Stefan Kozlov,216,14,0,11,6.481481481481482,0.0,5.092592592592593,11.57
253,Jurij Rodionov,173,10,0,10,5.780346820809249,0.0,5.780346820809249,11.56
254,Jakub Mensik,1769,109,28,67,6.161673261729791,1.582815149802148,3.7874505370265688,11.53
255,Ryan Harrison,278,24,3,5,8.633093525179856,1.079136690647482,1.7985611510791366,11.51
256,Jamie Morgan,148,8,1,8,5.405405405405405,0.6756756756756757,5.405405405405405,11.49
257,Pablo Cuevas,854,57,8,33,6.674473067915691,0.936768149882904,3.8641686182669788,11.48
258,Michael Westphal,157,12,0,6,7.643312101910828,0.0,3.821656050955414,11.46
259,Viktor Troicki,849,53,13,31,6.24263839811543,1.5312131919905771,3.651354534746761,11.43
260,Fernando Verdasco,4988,301,26,243,6.0344827586206895,0.5212510024057738,4.871692060946271,11.43
261,Tsung Hua Yang,175,11,0,9,6.285714285714286,0.0,5.142857142857143,11.43
262,Guy Forget,1418,108,1,53,7.616361071932299,0.07052186177715092,3.7376586741889986,11.42
263,Mili Poljicak,220,7,1,17,3.1818181818181817,0.45454545454545453,7.7272727272727275,11.36
264,Jason Stoltenberg,353,14,3,23,3.9660056657223794,0.8498583569405099,6.515580736543909,11.33
265,Benjamin Becker,212,16,3,5,7.547169811320755,1.4150943396226414,2.358490566037736,11.32
266,Konstantin Kravchuk,248,17,0,11,6.854838709677419,0.0,4.435483870967742,11.29
267,Robin Haase,5228,291,24,275,5.5661820964039785,0.4590665646518745,5.2601377199693955,11.29
268,Andrea Collarini,62,4,0,3,6.451612903225806,0.0,4.838709677419355,11.29
269,Jannik Sinner,21207,1167,274,950,5.502899985853728,1.2920262177582873,4.479652944782383,11.27
270,Nino Serdarusic,71,7,0,1,9.859154929577464,0.0,1.408450704225352,11.27
271,Christian Saceanu,151,5,2,10,3.3112582781456954,1.3245033112582782,6.622516556291391,11.26
272,Thomas Johansson,1329,97,4,48,7.298720842738901,0.3009781790820166,3.6117381489841986,11.21
273,Thiago Seyboth Wild,1934,79,25,112,4.084798345398139,1.2926577042399172,5.791106514994829,11.17
274,J J Wolf,727,26,29,26,3.576341127922971,3.9889958734525446,3.576341127922971,11.14
275,Botic Van De Zandschulp,10816,557,97,548,5.149778106508876,0.896819526627219,5.066568047337278,11.11
276,Andrey Kuznetsov,352,13,6,20,3.6931818181818183,1.7045454545454546,5.681818181818182,11.08
277,Cameron Norrie,3892,156,117,158,4.008221993833504,3.0061664953751284,4.059609455292908,11.07
278,Slobodan Zivojinovic,461,29,0,22,6.290672451193059,0.0,4.772234273318872,11.06
279,Roy Smith,190,11,4,6,5.7894736842105265,2.1052631578947367,3.1578947368421053,11.05
280,Benjamin Bonzi,703,40,5,32,5.689900426742532,0.7112375533428165,4.551920341394026,10.95
281,Denis Istomin,1114,70,7,45,6.283662477558348,0.6283662477558348,4.039497307001795,10.95
282,Alexandre Muller,950,31,29,44,3.263157894736842,3.0526315789473686,4.631578947368421,10.95
283,Guy Den Ouden,64,2,0,5,3.125,0.0,7.8125,10.94
284,Robby Ginepri,686,38,4,33,5.539358600583091,0.5830903790087464,4.810495626822157,10.93
285,Tomas Machac,2209,81,60,100,3.6668175645088277,2.716161158895428,4.526935264825713,10.91
286,Alexander Shevchenko,1352,41,40,66,3.032544378698225,2.9585798816568047,4.881656804733728,10.87
287,David Prinosil,120,3,0,10,2.5,0.0,8.333333333333334,10.83
288,Peter Gojowczyk,1205,62,25,43,5.145228215767635,2.074688796680498,3.5684647302904566,10.79
289,Malivai Washington,705,30,0,46,4.25531914893617,0.0,6.524822695035461,10.78
290,Nuno Borges,1374,53,38,57,3.8573508005822417,2.7656477438136826,4.148471615720524,10.77
291,Marcos Giron,2376,93,76,87,3.914141414141414,3.1986531986531985,3.6616161616161618,10.77
